domain,package,got_json,ip_count,port,ips,seconds
710sl070.udhqv.com,mcv.fyaojadpfjt.jgkynkdfdbebssq,yes,14,30118,1.14.207.113;42.193.175.40;103.120.90.85;8.138.213.143;8.163.120.138;8.138.14.188;175.178.230.126;106.55.245.136;8.134.58.147;103.45.129.234;8.134.188.69;119.91.122.79;106.55.22.252;8.138.0.120,5.2
710sl191.cazhc.com,urf.ymlhfjwrcclubxe.rxbhuntfsjdhi,yes,14,30118,119.91.122.79;8.138.14.188;1.14.207.113;8.134.58.147;8.134.188.69;106.55.22.252;106.55.245.136;103.45.129.234;103.120.90.85;8.138.213.143;175.178.230.126;42.193.175.40;8.163.120.138;8.138.0.120,3.7
710tb67.ukwji.gpzycm.com,hjo.ndjrfgosjptpv.ypqoggmsuprfdkphrw,yes,14,30154,8.134.239.11;103.45.129.234;106.52.50.43;8.134.134.238;8.134.143.176;8.134.131.85;8.134.171.215;1.14.190.197;43.136.105.252;1.14.150.118;159.75.72.50;103.120.90.46;42.194.177.67;8.134.250.210,3.7
710us001.iocfm.gpzycm.com,led.cbjcpgpinualn.gdyvhmwcrhsbgbawhm,yes,14,30154,103.45.129.234;159.75.72.50;1.14.150.118;42.194.177.67;8.134.134.238;43.136.105.252;8.134.250.210;8.134.131.85;1.14.190.197;8.134.171.215;103.120.90.46;8.134.143.176;106.52.50.43;8.134.239.11,5.2
710us002.vowpj.gpzycm.com,mqf.ibhawvwgkxxjs.enrbsnnafigynkhkcl,yes,14,30154,106.52.50.43;103.120.90.46;8.134.131.85;8.134.250.210;1.14.190.197;8.134.143.176;8.134.239.11;43.136.105.252;42.194.177.67;8.134.171.215;159.75.72.50;103.45.129.234;8.134.134.238;1.14.150.118,5.2
710xiao20.arrca.gpzycm.com,wsx.qdkafhnoaubdt.cbsjavancsuyfnmiyb,yes,14,30154,1.14.150.118;1.14.190.197;103.120.90.46;8.134.143.176;8.134.134.238;8.134.239.11;8.134.250.210;42.194.177.67;159.75.72.50;43.136.105.252;8.134.131.85;8.134.171.215;106.52.50.43;103.45.129.234,5.2
710xiao27.bqwzn.gpzycm.com,mwv.cdtpovissnbeh.kksvkokjwydxykacql,yes,14,30154,8.134.134.238;8.134.131.85;103.45.129.234;8.134.143.176;8.134.250.210;103.120.90.46;159.75.72.50;8.134.171.215;8.134.239.11;1.14.190.197;106.52.50.43;42.194.177.67;1.14.150.118;43.136.105.252,5.3
710yh213.xbrjj.com,mfw.moaurctkpkcv.tycvdcxlegfeypruvtvx,no,0,,,29.8
710yh261.xxy4x.com,bxw.pitdeeecstte.snxqrdoybjcbyflcscns,no,0,,,29.5
710yh313.xbrjj.com,bxw.pitdeeecstte.snxqrdoybjcbyflcscns,no,0,,,29.1
710yh397.0mrxd.com,lxu.ukoeqdchehoy.sgdadjpimihimvjcuuap,no,0,,,29.7
710yh428.6j75s.com,lxu.ukoeqdchehoy.sgdadjpimihimvjcuuap,no,0,,,29.9
710yh458.6j75s.com,gqv.ycwcjxedlipl.agolprpgwgbdqoxsjggq,no,0,,,26.1
710zok01.ajhtm.gpzycm.com,mqf.ibhawvwgkxxjs.enrbsnnafigynkhkcl,yes,14,30154,103.120.90.46;8.134.143.176;1.14.190.197;103.45.129.234;8.134.171.215;43.136.105.252;42.194.177.67;8.134.239.11;106.52.50.43;8.134.131.85;1.14.150.118;8.134.250.210;159.75.72.50;8.134.134.238,5.3
710zok08.niuam.gpzycm.com,yab.cdbkvdtudxuue.dungpgtpldjjgnyrix,yes,14,30154,103.120.90.46;42.194.177.67;8.134.143.176;43.136.105.252;106.52.50.43;159.75.72.50;8.134.250.210;8.134.171.215;1.14.190.197;8.134.239.11;8.134.131.85;1.14.150.118;8.134.134.238;103.45.129.234,5.2
710zok11.wpjih.gpzycm.com,gps.htfamevtkytmd.tmuaxrdkoukiidnegr,yes,14,30154,106.52.50.43;42.194.177.67;43.136.105.252;103.120.90.46;8.134.250.210;1.14.150.118;103.45.129.234;8.134.131.85;8.134.239.11;159.75.72.50;8.134.134.238;1.14.190.197;8.134.171.215;8.134.143.176,5.2
711a270.ko6qn.com,kqstvjemx.ldrpgcikjxhyfhae.kmnlmlwr,yes,15,30138,8.163.1.180;103.45.129.234;8.148.216.6;42.194.186.144;8.163.55.197;123.207.85.65;8.163.38.119;103.120.90.51;8.134.83.115;193.112.206.162;8.148.251.8;193.112.75.147;139.199.173.247;1.14.201.64;8.148.243.225,5.2
711b209.bixfl.com,pnmnbjolw.ahfcjoipqvxdgljj.icpupnpt,yes,15,30138,8.163.55.197;139.199.173.247;123.207.85.65;8.148.216.6;1.14.201.64;42.194.186.144;193.112.75.147;103.120.90.51;103.45.129.234;8.163.38.119;8.148.243.225;8.163.1.180;8.148.251.8;193.112.206.162;8.134.83.115,5.2
711b285.kvd55.com,pyxbbnydc.mupanoodbjuvvhoc.tuujqrid,yes,15,30138,103.45.129.234;8.163.38.119;193.112.206.162;8.148.243.225;8.163.55.197;8.148.216.6;1.14.201.64;103.120.90.51;8.134.83.115;8.148.251.8;8.163.1.180;123.207.85.65;193.112.75.147;42.194.186.144;139.199.173.247,5.2
