apk_path,package,label,apk_id
/home/ninini/Agents/APK-Research/new_samples/712cpb01.n3tbr.com.apk,vcd.tfyncjtucsr.sasvsyqmtxnmprfr,xiwbuP,712cpb01.n3tbr.com
/home/ninini/Agents/APK-Research/new_samples/713b111.yr6qs.com.apk,fnfvngdhf.mkltypmtbgiqbqff.lvehkklf,WTtNMT,713b111.yr6qs.com
/home/ninini/Agents/APK-Research/new_samples/711cpk21.0x8ls.com.apk,iul.uwokrfwrlnwm.wbwitbuwiafnxotwhxnw,urlrSw,711cpk21.0x8ls.com
/home/ninini/Agents/APK-Research/new_samples/711c173.f5ank.com.apk,epk.eopdldfgtsom.nsqtlosjoyveviapqj,rGNqBT,711c173.f5ank.com
/home/ninini/Agents/APK-Research/new_samples/711cpb15.as6sz.com.apk,yhc.vgbbolnhbfb.onixcdeinvielyht,RXyUXn,711cpb15.as6sz.com
/home/ninini/Agents/APK-Research/new_samples/712sl001.06ft6.com.apk,evx.vkrqnvdpduy.osjfjnjxvrqkuow,nRQilq,712sl001.06ft6.com
/home/ninini/Agents/APK-Research/new_samples/715b340.ne2rm.com.apk,lleogyfgl.uhqojpbxtygsthlg.yfwuebiu,xcdXBw,715b340.ne2rm.com
/home/ninini/Agents/APK-Research/new_samples/721cpk17.wd4ii.com.apk,ckg.hanljnreamho.eogrbtfmgghqwynlqkvq,MzCGZq,721cpk17.wd4ii.com
/home/ninini/Agents/APK-Research/new_samples/711b285.kvd55.com.apk,pyxbbnydc.mupanoodbjuvvhoc.tuujqrid,ojreBM,711b285.kvd55.com
/home/ninini/Agents/APK-Research/new_samples/711cpb15.qofya.com.apk,cvy.ecmpaknlvqd.eivowhoemitpqlqu,STJgYr,711cpb15.qofya.com
/home/ninini/Agents/APK-Research/new_samples/711cpb15.qwdfm.com.apk,cvy.ecmpaknlvqd.eivowhoemitpqlqu,STJgYr,711cpb15.qwdfm.com
/home/ninini/Agents/APK-Research/new_samples/712cpa6.hcvfe.com.apk,yev.bgtonilpgmjhtfj.sgdxanbenrokcqjgpnbk,ljvEmY,712cpa6.hcvfe.com
/home/ninini/Agents/APK-Research/new_samples/71du022.k84vw.com.apk,dfs.acgpeldmfpf.cbuagfvuggfcnpt,Ypjnjy,71du022.k84vw.com
/home/ninini/Agents/APK-Research/new_samples/710c102.2ps8d.com.apk,plf.xgxxfywkpyks.msmptalfipgdxrejbq,UHOXas,710c102.2ps8d.com
/home/ninini/Agents/APK-Research/new_samples/721sl154.jjzd8.com.apk,dxn.ijbqedoihaa.oyqcnxkwfwhdvxv,HhwFMU,721sl154.jjzd8.com
/home/ninini/Agents/APK-Research/new_samples/718cpb01.mw64u.com.apk,hhi.kudpmewcdex.btcnwdtwfrpoykeu,sZpNrN,718cpb01.mw64u.com
/home/ninini/Agents/APK-Research/new_samples/714yh119.lo0me.com.apk,eox.cdpuionfdxlk.grgwgahgoojfdwwgqjrj,ZbBJqU,714yh119.lo0me.com
/home/ninini/Agents/APK-Research/new_samples/71du004.mj56l.com.apk,nat.umduisvulof.vdjvjeurjdbahxg,yGwxwM,71du004.mj56l.com
/home/ninini/Agents/APK-Research/new_samples/718c24.mvw99.com.apk,sly.ncmwsjtyogld.ipyfbcgfvbnwxfwjfo,ESPaiR,718c24.mvw99.com
/home/ninini/Agents/APK-Research/new_samples/718sl183.ist99.com.apk,boo.mlwmctdmntf.qbrfnyejyvftuqs,mgVutm,718sl183.ist99.com
/home/ninini/Agents/APK-Research/new_samples/721bh150.ke6qv.com.apk,pjo.vvxtaifqynfkv.tlooqphbceuovudxiuk,ZzqpDE,721bh150.ke6qv.com
/home/ninini/Agents/APK-Research/new_samples/711cpk26.wd4ii.com.apk,osf.qoxhejmucobi.pnmfebwnsqsjjdnyumma,MPqdpl,711cpk26.wd4ii.com
/home/ninini/Agents/APK-Research/new_samples/718sf3.4caef.com.apk,hvkbmialx.qdlqrltgdepxubte.cuguaccn,tGKYzS,718sf3.4caef.com
/home/ninini/Agents/APK-Research/new_samples/719b111.fn6lj.com.apk,hvkbmialx.qdlqrltgdepxubte.cuguaccn,tGKYzS,719b111.fn6lj.com
/home/ninini/Agents/APK-Research/new_samples/721c538.3n1no.com.apk,nra.jrcrrupydlvmaih.bbxuhmjiixnp,jDrHHl,721c538.3n1no.com
/home/ninini/Agents/APK-Research/new_samples/710a294.hzrh1.com.apk,vsytdwwos.sxbyxmxhwbrfrpdg.yspiieex,wdEcho,710a294.hzrh1.com
/home/ninini/Agents/APK-Research/new_samples/713c166.za93a.com.apk,vso.ntyfpkdiagne.bklbvtqsjmqrbfbxxn,UaSqjx,713c166.za93a.com
/home/ninini/Agents/APK-Research/new_samples/713cpa3.av6ix.com.apk,qgu.fbqfhupytsueqwc.cesxmuyabhsrjjbdwvbv,uzdiNO,713cpa3.av6ix.com
/home/ninini/Agents/APK-Research/new_samples/714sl148.afhwq.com.apk,cdh.mxxksvenuly.xagxwaxwdofdxei,zBPkhh,714sl148.afhwq.com
/home/ninini/Agents/APK-Research/new_samples/715pt3.p206i.com.apk,ets.fshlprvchtob.molmiofnyotdbmjbrv,ZQVfpR,715pt3.p206i.com
